size	state	dataset	V7	pacbio_frag_ID	steps	inter_chr	inter_char_proportion	num_chr	max_span	min_coordinate	max_coordinate	max_int_dist	min_int_dist	sum_dists	first_to_last_frag_dist	chr	different_compartment_ints_number	number_of_compartment_types	compartment	number_of_compartments	different_compartment_index_ints_number	first_compartment	percentage_downstream	number_of_simplified_chrom_states	simplified_chrom_state	class	full_dataset_ID
long	ns	26APR16	11483	ns_26APR16_long_11483	2	1	0.5	2	NA	76491997	153924806	245054	245054	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	11649	ns_26APR16_long_11649	11	2	0.18181818181818182	2	NA	81852937	180086362	8702755	90864	NA	NA	*	4	2	non_unique_compartment	4	5	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	11872	ns_26APR16_long_11872	5	0	0	1	8817204	89073893	97892868	8768443	48761	12123594	5510814	chr13	1	2	non_unique_compartment	3	2	plus	0.4	3	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	11924	ns_26APR16_long_11924	1	1	1	2	NA	48618259	72050995	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	12078	ns_26APR16_long_12078	1	0	0	1	141392	93721245	93866677	141392	141392	141392	141392	chr1	0	1	plus	1	0	plus	1	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	12398	ns_26APR16_long_12398	2	2	1	2	NA	23115085	40978990	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	3	2	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	12450	ns_26APR16_long_12450	2	1	0.5	2	NA	51439206	131092767	79653115	79653115	NA	NA	*	0	1	plus	3	2	plus	NA	3	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	12561	ns_26APR16_long_12561	1	1	1	2	NA	37582280	153363368	-Inf	Inf	NA	NA	*	0	1	minus	2	1	minus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	12800	ns_26APR16_long_12800	1	1	1	2	NA	46015812	55862257	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	13060	ns_26APR16_long_13060	11	4	0.36363636363636365	2	NA	2317939	173413705	10644399	98746	NA	NA	*	5	2	non_unique_compartment	7	9	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	13376	ns_26APR16_long_13376	10	2	0.2	2	NA	1593807	184490918	18235816	99881	NA	NA	*	2	2	non_unique_compartment	5	6	minus	NA	3	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	13473	ns_26APR16_long_13473	4	1	0.25	2	NA	23679447	188790101	6291667	17003	NA	NA	*	1	3	non_unique_compartment	3	1	minus	NA	3	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	13535	ns_26APR16_long_13535	2	0	0	1	464081	35797099	36261332	464081	87228	551309	376853	chr9	0	1	plus	1	0	plus	0.5	1	Active	1	ns long 26APR16
long	ns	26APR16	13948	ns_26APR16_long_13948	1	0	0	1	411925	11507777	11920497	411925	411925	411925	411925	chr16	0	1	plus	1	0	plus	0	1	Active	1	ns long 26APR16
long	ns	26APR16	14104	ns_26APR16_long_14104	4	0	0	1	1272896	140707284	141981041	837356	35071	1808675	737117	chr5	1	2	non_unique_compartment	2	1	minus	0.75	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	14260	ns_26APR16_long_14260	1	1	1	2	NA	6210897	50390959	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	14916	ns_26APR16_long_14916	2	1	0.5	2	NA	111485065	155518894	1004864	1004864	NA	NA	*	1	2	non_unique_compartment	3	2	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	15697	ns_26APR16_long_15697	1	0	0	1	82810	51933074	52016292	82810	82810	82810	82810	chr2	0	1	minus	1	0	minus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	15942	ns_26APR16_long_15942	1	1	1	2	NA	83912693	88379097	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	2	1	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	16251	ns_26APR16_long_16251	1	0	0	1	384124	221127005	221512486	384124	384124	384124	384124	chr1	0	1	plus	1	0	plus	1	1	Active	1	ns long 26APR16
long	ns	26APR16	16290	ns_26APR16_long_16290	6	1	0.16666666666666666	2	NA	9801711	99413548	14226462	4421786	NA	NA	*	1	2	non_unique_compartment	7	6	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	16383	ns_26APR16_long_16383	4	1	0.25	2	NA	63020910	178940844	789380	39521	NA	NA	*	0	1	plus	3	2	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	16972	ns_26APR16_long_16972	2	2	1	2	NA	38565611	94621974	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	3	2	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	17379	ns_26APR16_long_17379	1	1	1	2	NA	33188879	126219730	-Inf	Inf	NA	NA	*	0	1	minus	2	1	minus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	17592	ns_26APR16_long_17592	4	2	0.5	2	NA	134734100	170046601	369820	52835	NA	NA	*	2	2	non_unique_compartment	3	2	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	17830	ns_26APR16_long_17830	4	0	0	1	5362391	93365103	98728360	5362391	1164082	10899917	3110053	chr14	2	2	non_unique_compartment	3	4	minus	0.5	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	17959	ns_26APR16_long_17959	1	1	1	2	NA	12814654	78044300	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	2	1	minus	NA	1	NA	2	ns long 26APR16
long	ns	26APR16	17970	ns_26APR16_long_17970	1	1	1	2	NA	7735653	19958001	-Inf	Inf	NA	NA	*	0	1	minus	2	1	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	18368	ns_26APR16_long_18368	1	0	0	1	458032	188628020	189086443	458032	458032	458032	458032	chr3	0	1	plus	1	0	plus	1	1	Active	1	ns long 26APR16
long	ns	26APR16	18569	ns_26APR16_long_18569	1	1	1	2	NA	99923404	112973603	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	19003	ns_26APR16_long_19003	1	1	1	2	NA	71717318	214596111	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	19136	ns_26APR16_long_19136	2	1	0.5	2	NA	20173200	47459430	859500	859500	NA	NA	*	1	2	non_unique_compartment	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	19458	ns_26APR16_long_19458	1	1	1	2	NA	44063481	179772543	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	19518	ns_26APR16_long_19518	5	1	0.2	2	NA	103965792	171861420	14533599	37607	NA	NA	*	0	1	minus	3	4	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	19663	ns_26APR16_long_19663	1	1	1	2	NA	21507503	118063617	-Inf	Inf	NA	NA	*	0	1	minus	2	1	minus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	19912	ns_26APR16_long_19912	1	1	1	2	NA	67501419	237341472	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	2	1	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	20216	ns_26APR16_long_20216	9	0	0	1	91364130	3528558	94893597	84541834	468522	347751991	35277	chr11	2	2	non_unique_compartment	6	8	minus	0.3333333333333333	3	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	20396	ns_26APR16_long_20396	3	0	0	1	24978896	89606414	114585752	24978896	549659	50173916	216124	chr8	0	1	plus	2	2	plus	0.6666666666666666	1	Inactive	1	ns long 26APR16
long	ns	26APR16	20586	ns_26APR16_long_20586	1	1	1	2	NA	40351951	197081718	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	21062	ns_26APR16_long_21062	1	1	1	2	NA	5733190	17066606	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	21110	ns_26APR16_long_21110	2	2	1	2	NA	128988405	206620240	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	3	2	minus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	22120	ns_26APR16_long_22120	1	1	1	2	NA	32779369	32807327	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	2	1	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	22202	ns_26APR16_long_22202	1	0	0	1	61224	45413582	45476074	61224	61224	61224	61224	chr7	0	1	plus	1	0	plus	1	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	22778	ns_26APR16_long_22778	9	1	0.1111111111111111	2	NA	66344251	203591319	47915557	19999	NA	NA	*	0	1	plus	4	5	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	24585	ns_26APR16_long_24585	12	4	0.3333333333333333	2	NA	11624442	199926918	187882681	76858	NA	NA	*	3	2	non_unique_compartment	6	8	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	24824	ns_26APR16_long_24824	1	0	0	1	2048114	56730201	58778684	2048114	2048114	2048114	2048114	chr6	1	2	non_unique_compartment	2	1	minus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	24880	ns_26APR16_long_24880	3	2	0.6666666666666666	2	NA	30284287	95431390	5810824	5810824	NA	NA	*	2	2	non_unique_compartment	3	2	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	25631	ns_26APR16_long_25631	1	1	1	2	NA	35078372	117064979	-Inf	Inf	NA	NA	*	0	1	minus	2	1	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	25675	ns_26APR16_long_25675	1	1	1	2	NA	19556597	56632094	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	26751	ns_26APR16_long_26751	11	2	0.18181818181818182	2	NA	46225389	96812555	3437285	81239	NA	NA	*	4	2	non_unique_compartment	4	6	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	26965	ns_26APR16_long_26965	1	0	0	1	505879	99860881	100366921	505879	505879	505879	505879	chr11	0	1	minus	1	0	minus	1	1	Active	1	ns long 26APR16
long	ns	26APR16	26981	ns_26APR16_long_26981	1	0	0	1	3615711	65987596	69604036	3615711	3615711	3615711	3615711	chr14	0	1	plus	2	1	plus	0	1	Active	1	ns long 26APR16
long	ns	26APR16	27755	ns_26APR16_long_27755	1	1	1	2	NA	115500374	224103038	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	2	1	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	28063	ns_26APR16_long_28063	1	1	1	2	NA	75982224	200913854	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	28068	ns_26APR16_long_28068	9	4	0.4444444444444444	2	NA	54678778	101620986	27319613	1499	NA	NA	*	2	2	non_unique_compartment	4	7	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	28383	ns_26APR16_long_28383	2	0	0	1	1243973	14502581	15746898	939127	304846	1243973	1243973	chr7	0	1	minus	1	0	minus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	28768	ns_26APR16_long_28768	1	0	0	1	797880	66294609	67093115	797880	797880	797880	797880	chr8	1	2	non_unique_compartment	2	1	plus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	29432	ns_26APR16_long_29432	4	1	0.25	2	NA	27765912	117406232	890289	178372	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	29636	ns_26APR16_long_29636	1	1	1	2	NA	22200178	117452577	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	29699	ns_26APR16_long_29699	5	4	0.8	2	NA	6128636	100811927	1341098	1341098	NA	NA	*	2	2	non_unique_compartment	4	4	plus	NA	3	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	29796	ns_26APR16_long_29796	2	0	0	1	138769	81797699	81938406	138769	109932	248701	28837	chr11	0	1	minus	1	0	minus	0.5	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	29974	ns_26APR16_long_29974	2	0	0	1	381695	79009927	79393193	381695	358402	740097	23293	chr7	0	1	minus	1	0	minus	0.5	1	Active	1	ns long 26APR16
long	ns	26APR16	30113	ns_26APR16_long_30113	1	1	1	2	NA	142450465	202545047	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	30121	ns_26APR16_long_30121	2	2	1	2	NA	95022551	138455440	-Inf	Inf	NA	NA	*	2	2	non_unique_compartment	2	2	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	30584	ns_26APR16_long_30584	3	2	0.6666666666666666	2	NA	80363	62517138	652658	652658	NA	NA	*	0	1	plus	2	2	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	30892	ns_26APR16_long_30892	4	0	0	1	10028456	90929643	100959288	9651739	2785	10028456	10028456	chr13	0	1	plus	2	1	plus	0.25	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	31140	ns_26APR16_long_31140	3	1	0.3333333333333333	2	NA	44188758	107391001	527409	432593	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	31306	ns_26APR16_long_31306	1	0	0	1	1757623	2888790	4646782	1757623	1757623	1757623	1757623	chr8	0	1	minus	1	0	minus	1	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	31595	ns_26APR16_long_31595	1	0	0	1	166162	185343898	185510802	166162	166162	166162	166162	chr3	0	1	plus	1	0	plus	1	1	Active	1	ns long 26APR16
long	ns	26APR16	31950	ns_26APR16_long_31950	1	1	1	2	NA	29142838	71271687	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	32182	ns_26APR16_long_32182	1	0	0	1	10893745	7388241	18282231	10893745	10893745	10893745	10893745	chr10	1	2	non_unique_compartment	2	1	minus	1	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	32682	ns_26APR16_long_32682	1	0	0	1	30041963	54738338	84780798	30041963	30041963	30041963	30041963	chr16	1	2	non_unique_compartment	2	1	minus	1	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	32689	ns_26APR16_long_32689	1	1	1	2	NA	49324198	104497733	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	32790	ns_26APR16_long_32790	1	0	0	1	109197	240124276	240233853	109197	109197	109197	109197	chr1	0	1	minus	1	0	minus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	33835	ns_26APR16_long_33835	1	0	0	1	2527085	220396040	222923472	2527085	2527085	2527085	2527085	chr2	1	2	non_unique_compartment	2	1	minus	0	1	Active	1	ns long 26APR16
long	ns	26APR16	33836	ns_26APR16_long_33836	8	0	0	1	3664344	66164434	69829348	3630060	620	9831756	3624390	chr2	3	2	non_unique_compartment	2	3	plus	0.5	3	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	33848	ns_26APR16_long_33848	2	1	0.5	2	NA	32406898	103595065	75432	75432	NA	NA	*	1	2	non_unique_compartment	2	1	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	34289	ns_26APR16_long_34289	9	0	0	1	22019352	107200335	129221164	21628199	25247	71529053	9880675	chr5	2	2	non_unique_compartment	3	5	minus	0.6666666666666666	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	34319	ns_26APR16_long_34319	1	1	1	2	NA	17146084	231284735	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	34368	ns_26APR16_long_34368	1	1	1	2	NA	137510937	138505805	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	34571	ns_26APR16_long_34571	1	0	0	1	9698935	55853929	65553120	9698935	9698935	9698935	9698935	chrX	0	1	minus	2	1	minus	1	1	Active	1	ns long 26APR16
long	ns	26APR16	35119	ns_26APR16_long_35119	1	1	1	2	NA	8395340	64396817	-Inf	Inf	NA	NA	*	0	1	minus	2	1	minus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	35319	ns_26APR16_long_35319	1	0	0	1	420765	62473827	62896360	420765	420765	420765	420765	chr10	0	1	plus	1	0	plus	0	1	Active	1	ns long 26APR16
long	ns	26APR16	35736	ns_26APR16_long_35736	2	0	0	1	593761	117657620	118251629	556449	37312	593761	593761	chr8	1	2	non_unique_compartment	2	1	minus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	35755	ns_26APR16_long_35755	5	1	0.2	2	NA	9349978	108186431	32426947	5730	NA	NA	*	1	2	non_unique_compartment	3	3	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	36087	ns_26APR16_long_36087	1	0	0	1	3429506	114586894	118017010	3429506	3429506	3429506	3429506	chr3	1	2	non_unique_compartment	2	1	plus	1	1	Inactive	1	ns long 26APR16
long	ns	26APR16	36124	ns_26APR16_long_36124	1	1	1	2	NA	51746411	103553450	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	2	1	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	36509	ns_26APR16_long_36509	9	2	0.2222222222222222	2	NA	14143958	81088272	15842473	127415	NA	NA	*	3	2	non_unique_compartment	8	8	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	37222	ns_26APR16_long_37222	4	2	0.5	2	NA	7647921	169274799	71529	69058	NA	NA	*	2	2	non_unique_compartment	2	2	minus	NA	3	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	37327	ns_26APR16_long_37327	2	2	1	2	NA	32857230	48154728	-Inf	Inf	NA	NA	*	0	1	plus	2	2	plus	NA	1	Inactive	2	ns long 26APR16
long	ns	26APR16	37593	ns_26APR16_long_37593	1	1	1	2	NA	125319819	178720348	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	38298	ns_26APR16_long_38298	2	2	1	2	NA	42481301	77318809	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	3	2	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	38615	ns_26APR16_long_38615	1	1	1	2	NA	95170052	127928314	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	38652	ns_26APR16_long_38652	1	0	0	1	170328271	55523454	225852044	170328271	170328271	170328271	170328271	chr1	0	1	plus	2	1	plus	1	1	Active	1	ns long 26APR16
long	ns	26APR16	38757	ns_26APR16_long_38757	1	1	1	2	NA	3974498	28256180	-Inf	Inf	NA	NA	*	0	2	non_unique_compartment	2	0	NA	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	38792	ns_26APR16_long_38792	5	4	0.8	2	NA	79109073	95777206	404652	404652	NA	NA	*	0	1	plus	3	4	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	38971	ns_26APR16_long_38971	1	0	0	1	3455948	111487485	114944308	3455948	3455948	3455948	3455948	chr3	0	1	plus	1	0	plus	1	1	Active	1	ns long 26APR16
long	ns	26APR16	39190	ns_26APR16_long_39190	1	0	0	1	41060511	91892871	132954022	41060511	41060511	41060511	41060511	chr11	0	1	minus	2	1	minus	0	1	Inactive	1	ns long 26APR16
long	ns	26APR16	39233	ns_26APR16_long_39233	2	1	0.5	2	NA	69950797	80851083	256881	256881	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	39316	ns_26APR16_long_39316	1	0	0	1	9713763	105797918	115512184	9713763	9713763	9713763	9713763	chr1	1	2	non_unique_compartment	2	1	plus	0	2	non_unique_chrom_state	1	ns long 26APR16
